ID,Species,Order,Class,Phylum,Domain,Genome availability,Salinity concentration/range(w/v),Halotolerance classification
1094,Actinopolyspora iraqiensis,Actinomycetales,Actinobacteria,Actinobacteria,Bacteria,shotgun,"1% - 24%, optimum 10% - 15%",Moderate
1095,Nocardiopsis halophila,Streptosporangiales,Actinobacteria,Actinobacteria,Bacteria,shotgun,"0% - 20%, optimum 5% - 15%",Moderate
1096,Arhodomonas aquaeolei,Chromatiales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"6% - 20%, optimum 15%",Moderate
1097,Halomonas salina,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"2.5% - 20%, optimum 5%",Moderate
1098,Thiohalocapsa halophila,Chromatiales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"3% - 20%, optimum 7%",Moderate
1099,Actinopolyspora mortivallis,Actinopolysporales,Actinobacteria,Actinobacteria,Bacteria,shotgun,"5% - 30%, optimum 10% - 15%",Moderate
1100,Halomonas eurihalina,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"0.5% - 25%, optimum 7.5%",Moderate
1101,Salinicoccus roseus,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"0.9% - 25%, optimum 10%",Moderate
1102,Virgibacillus halodenitrificans,Bacillales,Bacilli,Firmicutes,Bacteria,complete genome,"2% - 25%, optimum 3% - 8%",Moderate
1103,Halomonas variabilis,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"7% - 29%, optimum 9%",Moderate
1104,Pseudomonas halophila (Halomonas utahensis),Pseudomonadales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"0.1% - 19%, optimum 4.6%",Slight
1105,Halochromatium salexigens,Chromatiales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"4% - 20%, optimum 10%",Moderate
1106,Rhodothermus marinus,Sphingobacteriales,Sphingobacteria,Bacteroidetes,Bacteria,complete genome,"up to 6%, optimum 2%",Slight
1107,Halomethanococcus doii,Methanosarcinales,Methanomicrobia,Euryarchaeota,Archaea,no,"10% - 21%, optimum 17.5%",Moderate
1108,Rhodovibrio salinarum,Rhodospirillales,Alphaproteobacteria,Proteobacteria,Bacteria,shotgun,2% - 18%,Moderate
1109,Marinococcus halophilus,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,optimum 5% - 15%,Moderate
1110,Actinopolyspora halophila,Actinopolysporales,Actinobacteria,Actinobacteria,Bacteria,shotgun,"10% - satr, optimum 15% - 20%",Moderate
1111,Marinococcus salis,Bacillales,Bacilli,Firmicutes,Bacteria,no,"0% - 19%, optimum 5%",Moderate
1112,Marinococcus halotolerans,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"0% - 25%, optimum 10%",Moderate
1113,Wallemia hederae,Wallemiales,Wallemiomycetes,Basidiomycota,Eukarya,no,4% - 25%,Extreme
1114,Actinopolyspora salinaria,Actinopolysporales,Actinobacteria,Actinobacteria,Bacteria,no,0.15,Moderate
1115,Paludifilum halophilum,Bacillales,Bacilli,Firmicutes,Bacteria,no,optimum 10%,Moderate
1116,Lentibacillus populi,Bacillales,Bacilli,Firmicutes,Bacteria,no,"0% - 15%, optimum 7% - 8%",Moderate
1117,Labrenzia salina,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria,no,1% - 11%,Moderate
1118,Halomonas lutescens,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"0% - 20%, optimum 7.5%",Moderate
1119,Balneicella halophila,Bacteroidales,Bacteroidia,Bacteroidetes,Bacteria,no,"up to 8.5%, optimum 2.5%",Moderate
1120,Wukongibacter Baidiensis,Clostridiales,Clostridia,Firmicutes,Bacteria,no,optimum 3% - 4%,Slight
1121,Virgibacillus ainsalahensis,Bacillales,Bacilli,Firmicutes,Bacteria,no,"0.5% - 25%, optimum 5% - 10%",Moderate
1122,Photobacterium halotolerans,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,0% - 8%,Moderate
1123,Haloprofundus marisrubri,Haloferacales,Halobacteria,Euryarchaeota,Archaea,shotgun,min 7%,Extreme
1124,Marinobacter salinus,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,complete genome,"0.5%-15 %, optimum, 3%-6%",Moderate
1125,Marinobacter halotolerans,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"0.5%-20 %, optimum 3 %",Slight
1126,Salicola mahdashtensis,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"17.5% - 30%, optimum 20%",Extreme
1127,Altererythrobacter salegens,Sphingomonadales,Alphaproteobacteria,Proteobacteria,Bacteria,no,optimum 3%-8 %,Slight
1128,Rhodohalobacter halophilus,Balneolales,Balneolia,Balneolaeota,Bacteria,shotgun,"2% - 16%, optimum 8% - 10%",Moderate
1129,Haloterrigena mahii,Natrialbales,Halobacteria,Euryarchaeota,Archaea,shotgun,optimum 20.4% - 29.2%,Extreme
1130,Sporosalibacterium tautonense,Clostridiales,Clostridia,Firmicutes,Bacteria,no,0.5% - 10%,Moderate
1131,Salipaludibacillus agaradhaerens,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,0.5% - 16%,Moderate
1132,Bacillus clarkii,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,0.5% - 16%,Moderate
1133,Alkalicoccus saliphilus,Bacillales,Bacilli,Firmicutes,Bacteria,no,"0% - 25%, optimum 16%",Moderate
1134,Alkalicoccus halolimnae,Bacillales,Bacilli,Firmicutes,Bacteria,no,"4.3% - 24.2%, optimum 8.2% - 12.2%",Moderate
1135,Halorubrum trueperi,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,optimum 20%,Extreme
1136,Salibacter halophilus,Flavobacteriales,Flavobacteriia,Bacteroidetes,Bacteria,no,"2% - 18%, optimum 6%",Moderate
1137,Salinicola tamaricis,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,optimum 5%,Slight
1138,Natrinema soli,Natrialbales,Halobacteria,Euryarchaeota,Archaea,no,optimum 23.4%,Extreme
1139,Aliifodinibius salicampi,Balneolales,Balneolia,Balneolaeota,Bacteria,no,"3% - 25%, optimum 10%",Moderate
1140,Marinobacter aquaticus,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"5% - 25%, optimum 10%",Moderate
1141,Nesterenkonia pannonica,Micrococcales,Actinobacteria,Actinobacteria,Bacteria,no,5% - 7%,Moderate
1142,Saliphagus infecundisoli,Natrialbales,Halobacteria,Euryarchaeota,Archaea,no,"5% - 35%, optimum 20%",Extreme
1143,Salinifilum aidingensis,Pseudonocardiales,Actinobacteria,Actinobacteria,Bacteria,no,optimum 12%,Moderate
1144,Salinifilum proteinilyticum,Pseudonocardiales,Actinobacteria,Actinobacteria,Bacteria,no,"12% - 25 %, optimum 15% - 20%",Extreme
1145,Gracilibacillus aidingensis,Bacillales,Bacilli,Firmicutes,Bacteria,no,"5% - 20%, optimum 10%",Moderate
1146,Halorubrum salsamenti,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,"15% - 30%, optimum 20%",Extreme
1147,Halomonas aestuarii,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,complete genome,optimum 3% - 10%,Moderate
1148,Ponticoccus marisrubri,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria,shotgun,optimum 9% - 12%,Moderate
1149,Haloplanus salinarum,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,"14.6% - 26.3%, optimum 18.1%",Extreme
1150,Gracilimonas halophila,Balneolales,Balneolia,Balneolaeota,Bacteria,no,2% - 16% (optimum 6% - 8%),Moderate
1151,Bacillus kiskunsagensis,Bacillales,Bacilli,Firmicutes,Bacteria,no,optimum 7%,Moderate
1152,Prauserella oleivorans,Pseudonocardiales,Actinobacteria,Actinobacteria,Bacteria,no,0% - 12.5% (optimum 3% - 5%),Slight
1153,Virgibacillus kimchii,Bacillales,Bacilli,Firmicutes,Bacteria,no,0% - 25% (optimum 10% - 15%),Moderate
1154,Schmidingerothrix salinarum,Stichotrichida,Spirotrichea,Ciliophora,Eukarya,no,1% - 21% (optimum 9%),Moderate
1155,Gracilibacillus eburneus,Bacillales,Bacilli,Firmicutes,Bacteria,no,2% - 24% (optimum 7-10%),Extreme
1156,Salibacterium lacus,Bacillales,Bacilli,Firmicutes,Bacteria,no,8% - 28 % (optimum at 24 %),Extreme
1157,Pseudogracilibacillus endophyticus,Bacillales,Bacilli,Firmicutes,Bacteria,no,0% - 8 % (optimum 4 %),Slight
1158,Halorubrum aethiopicum,Haloferacales,Halobacteria,Euryarchaeota,Archaea,shotgun,15% - 30 % (optimum 20%-25 %),Extreme
1159,Natronolimnobius aegyptiacus,Natrialbales,Halobacteria,Euryarchaeota,Archaea,no,15% - satur (optimum 19% - 27%),Extreme
1160,Planococcus salinus,Bacillales,Bacilli,Firmicutes,Bacteria,no,3% - 15 % (optimum 3%-5 %),Moderate
1161,Aidingibacillus halophilus,Bacillales,Bacilli,Firmicutes,Bacteria,no,5% - 20% (optimum 10%),Moderate
1162,Palleronia abyssalis,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria,no,0% - 13% (optimum 2% - 5%),Moderate
1163,Halomonas anticariensis,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,0.5% - 15% (optimum 7.5%),Moderate
1164,Idiomarina fontislapidosi,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,no,0.5% - 25% (optimum 3% - 5%),Moderate
1165,Alteromonas hispanica,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,no,7.5% - 15% (optimum 7.5% - 10%),Moderate
1166,Salinivenus iranica,Rhodothermales,Rhodothermia,Rhodothermaeota,Bacteria,shotgun,11.6% - 29.2% (optimum 17.5%),Extreme
1167,Salinivenus lutea,Rhodothermales,Rhodothermia,Rhodothermaeota,Bacteria,shotgun,11.6% - 29.2% (optimum 17.5%),Extreme
1168,Marinobacter gelidimuriae,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,no,0.8% - 15%,Moderate
1169,Desulfovibrio salinus,Desulfovibrionales,Deltaproteobacteria,Proteobacteria,Bacteria,no,1% - 12% (optimum 3%),Moderate
1170,Ornithinibacillus salinisoli,Bacillales,Bacilli,Firmicutes,Bacteria,no,3% - 17% (optimum 10% - 15%),Moderate
1171,Haloferax massiliensis,Haloferacales,Halobacteria,Euryarchaeota,Archaea,shotgun,optimum 15%,Moderate
1172,Halorubrum depositum,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,10% - 30% (optimum 20%),Extreme
1173,Halomonas saliphila,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,0% - 17 % (optimum 10% - 15 %),Moderate
1174,Virgibacillus phasianinus,Bacillales,Bacilli,Firmicutes,Bacteria,complete genome,0% - 20% (optimum 10%),Moderate
1175,Salinivirga fredricksonii,Marinilabiliales,Bacteroidia,Bacteroidetes,Bacteria,no,unavailable,Moderate
1177,Roseovarius ramblicola,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria,no,0.5% - 10 % (optimum 3 %),Moderate
1178,Virgibacillus indicus,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,unavailable,Moderate
1179,Virgibacillus profundi,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,unavailable,Moderate
1180,Saliniramus fredricksonii,Rhizobiales,Alphaproteobacteria,Proteobacteria,Bacteria,no,0.6% - 8.2%,Moderate
1181,Halomonas tabrizica,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"1% - 22%, optimum 10%",Extreme
1182,Sediminibacillus massiliensis,Bacillales,Bacilli,Firmicutes,Bacteria,shotgun,"0% - 20%, optimum 5% - 7.5%",Moderate
1183,Salinivibrio sharmensis,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria,no,"6% - 16%, optimum 10%",Moderate
1184,Salinivibrio kushneri,Vibrionales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,"5% - 21%, optimum 7.5%",Moderate
1185,Kushneria phyllosphaerae,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,0.5% - 25%,Extreme
1186,Kushneria endophytica,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,0.5% - 25%,Extreme
1187,Halomonas beimenensis,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,complete genome,0% - 15% (optimum 5% - 10%),Moderate
1188,Haloplanus rallus,Haloferacales,Halobacteria,Euryarchaeota,Archaea,no,10% - 30% (optimum 15%),Extreme
1189,Roseovarius tibetensis,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria,no,1% - 20% (optimum 4% - 8%),Moderate
1190,Marinobacter bohaiensis,Alteromonadales,Gammaproteobacteria,Proteobacteria,Bacteria,shotgun,6% - 10%,Moderate
1191,Salicibibacter kimchii,Rhodobacterales,Alphaproteobacteria,Proteobacteria,Bacteria,complete genome,0% - 25% (optimum 10%),Extreme
1192,Halococcus salsus,Halobacteriales,Halobacteria,Euryarchaeota,Archaea,no,optimum 20%,Extreme
1193,Halomonas litopenaei,Oceanospirillales,Gammaproteobacteria,Proteobacteria,Bacteria,no,0.5% - 22%,Extreme
1194,Microbacterium halophytorum,Micrococcales,Actinobacteria,Actinobacteria,Bacteria,no,up to 15%,Moderate
1195,Natronolimnobius aegyptiacus,Natrialbales,Halobacteria,Euryarchaeota,Archaea,complete genome,15% - 27% (optimum 19% - 27%),Extreme
